No.,商品名,卸価格
N31001-3371,レンズメータ用汎用印点カートリッジ（赤）,2500
MC-A,万能MCモダン(486･547･674･770用）,3000
MC674-LO,万能トライアル・フレームMC下開き54-74,22580
MC674,万能トライアル・フレームMC54-74,22580
MC580U-PRO-LO,万能ﾄﾗｲｱﾙ･ﾌﾚｰﾑMC(試験枠)Univ ユニブプロ ﾘﾑ下開きﾀｲﾌﾟ,28260
MC580U-PRO,万能ﾄﾗｲｱﾙ･ﾌﾚｰﾑMC(試験枠)Univ ユニブプロ,28260
MC486-LO,万能トライアル・フレームMC下開き48-60,22580
MC486,万能トライアル・フレームMC48-60,22580
M700-XS,M700/800用ﾌｪﾐﾐ ｲﾔｰﾁｯﾌﾟ XS1組,360
M700-S,M700/800用ﾌｪﾐﾐ ｲﾔｰﾁｯﾌﾟ S1組,360
M700-M,M700/800用ﾌｪﾐﾐ ｲﾔｰﾁｯﾌﾟ M1組,360
M700-L,M700/800用ﾌｪﾐﾐ ｲﾔｰﾁｯﾌﾟ L1組,360
M520-B,リモコン視力表 リモコン用架台,42000
M520-A,リモコン視力表用架台,23000
M520-5,リモコン視力表,500000
M520-3,リモコン視力表,500000
LS-3W,軸打機(接着.十字線タイプ),135000
LS-3E,軸打機(接着タイプ),124000
LM-7P,オートレンズメータLM-7P,428000
LM-7,オートレンズメータLM-7,388000
JAD80,ｱｸﾘﾙﾃﾞｨｽｸﾙｰﾍﾟ(6×)Φ80×50mm,1950
JAD65,ｱｸﾘﾙﾃﾞｨｽｸﾙｰﾍﾟ(6×)Φ65×45mm,1625
JAD50,ｱｸﾘﾙﾃﾞｨｽｸﾙｰﾍﾟ(6×)Φ50×30mm,1300
H-B,万能ストレートモダン(486･547･674･770用),3000
H674-LO,万能トライアル･フレーム(試験枠)下開き54-74,22580
H674,万能トライアル･フレーム(試験枠)54-74,22580
H486-LO,万能トライアル･フレーム(試験枠)下開き48-60,22580
H486,万能トライアル･フレーム(試験枠)48-60,22580
GC704,グラスチェーン(ビーズ),1035
GC703,グラスチェーン(ビーズ),1035
GC702,グラスチェーン(ビーズ),1035
GC701,グラスチェーン(ビーズ),1035
GC520BK,グラスコード（ストレッチ）(ブラック）,575
GC519RE,グラスコード(平組紐)(唐紅）,748
GC519PU,グラスコード(平組紐)(京紫）,748
GC519NB,グラスコード(平組紐)(藍琥珀）,748
GC518MX,グラスコード(迷彩)(ミックス）,1380
GC518KK,グラスコード(迷彩)(カーキ）,1380
GC518GL,グラスコード(迷彩)(グレー）,1380
GC517P,グラスコード（ストレッチ）(ピンク）,1150
GC517MX,グラスコード（ストレッチ）(ミックス）,1150
